fold,split,source_csv,checkpoint_path,row_index,smiles,solvent,property,y_true,y_pred,ae,true_ae,abs_error,log_abs_error,sample_weight,epsilon,solute_max_tanimoto,solute_min_descriptor_distance,solute_scaffold_novel,solute_scaffold_similarity,solute_local_density,solute_scaffold_in_train_and_val,solute_scaffold_train_and_val_count,solute_top3_mean_tanimoto,solute_top5_mean_tanimoto,solute_neighbor_count_ge_0_5,solute_neighbor_count_ge_0_7,solute_neighbor_count_ge_0_8,solute_top1_top2_tanimoto_gap,solute_same_scaffold_neighbor_count_ge_0_5,solute_other_scaffold_neighbor_count_ge_0_5,base_prediction
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,1,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,ClC(Cl)Cl,plqy,0.02,0.037683576345443726,0.017683576345443725,0.017683576345443725,0.017683576345443725,-3.786114125365027,0.9358213876699255,0.005,1.0,999.0,0.0,1.0,0.0,1.0,61.0,0.954954954954955,0.8059617757292177,10.0,3.0,3.0,0.0,3.0,7.0,0.037683576345443726
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,5,COc1ccc(C2=C(c3ccc(OC)cc3)C(C)(C)c3ccccc32)cc1,C1CCCCC1,plqy,0.09,0.04071131348609924,0.049288686513900754,0.049288686513900754,0.049288686513900754,-2.9134394252439755,1.0,0.005,0.7222222222222222,999.0,0.0,1.0,0.0,1.0,1.0,0.6893593056383754,0.646173722917909,6.0,2.0,0.0,0.004273504273504258,1.0,5.0,0.04071131348609924
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,9,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(C#CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,CC#N,plqy,0.2,0.13655728101730347,0.06344271898269654,0.06344271898269654,0.06344271898269654,-2.6817581027710005,1.0,0.005,1.0,999.0,0.0,1.0,0.0,1.0,5.0,0.9481481481481482,0.857997799779978,14.0,6.0,3.0,0.0,5.0,9.0,0.13655728101730347
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,20,Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(I)cc32)cc1,OC(F)(F)CF,plqy,0.01,0.041065514087677,0.031065514087677,0.031065514087677,0.031065514087677,-3.3224181586520936,1.0,0.005,1.0,999.0,0.0,1.0,0.0,1.0,1098.0,0.8286524822695035,0.7652187002460559,35.0,3.0,1.0,0.23404255319148937,21.0,14.0,0.041065514087677
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,21,CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,ClCCl,plqy,0.02,0.0919906497001648,0.07199064970016479,0.07199064970016479,0.07199064970016479,-2.5640712969673642,1.0,0.005,0.5161290322580645,999.0,1.0,0.6041666666666666,0.0,0.0,0.0,0.4952753339850114,0.47169077794876263,2.0,0.0,0.0,0.0009775171065493637,0.0,2.0,0.0919906497001648
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,23,c1cnc(-c2c3ccccc3c(-c3cncnc3)c3ccccc23)nc1,CCO,plqy,0.61,0.1987116038799286,0.4112883961200714,0.4112883961200714,0.4112883961200714,-0.8763769990104986,1.0,0.005,1.0,999.0,0.0,1.0,0.0,1.0,1.0,0.795313881520778,0.7389920424403182,5.0,2.0,1.0,0.2692307692307693,1.0,4.0,0.1987116038799286
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,27,Cc1ccccc1-c1c2ccc(N3CCCC3)cc2[o+]c2cc(N3CCCC3)ccc12,ClCCl,plqy,1.0,0.9379129409790039,0.062087059020996094,0.062087059020996094,0.062087059020996094,-2.701764114692579,1.0,0.005,1.0,999.0,0.0,1.0,0.0,1.0,5.0,0.9367274250995181,0.8569570899803457,22.0,4.0,3.0,0.027027027027026973,3.0,19.0,0.9379129409790039
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,40,C1=C2B(Nc3ccccc31)c1sccc1C(c1ccccc1)=C2c1ccccc1,ClCCl,plqy,0.21,0.5206083059310913,0.31060830593109134,0.31060830593109134,0.31060830593109134,-1.1532533724508618,1.0,0.005,0.6363636363636364,999.0,1.0,0.6363636363636364,0.0,0.0,0.0,0.5854545454545454,0.5613951762523192,6.0,0.0,0.0,0.0763636363636363,0.0,6.0,0.5206083059310913
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,50,CCCCCCCCCC1(CCCCCCCCC)c2cc(C#Cc3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)ccc2-c2ccc(C#Cc3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc21,Cc1ccccc1,plqy,0.82,0.7038443088531494,0.11615569114685054,0.11615569114685054,0.11615569114685054,-2.110678856786206,1.0,0.005,0.65,999.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.6188057040998217,0.6022235934000639,13.0,0.0,0.0,0.03181818181818186,0.0,13.0,0.7038443088531494
3,calibration,./results/intermediate/AE_PRE_MERGED_calibration85.csv,./models/main_model/fold_03/best_model.pt,54,CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1,CO,plqy,0.43,0.061768800020217896,0.3682311999797821,0.3682311999797821,0.3682311999797821,-0.9855572122713373,1.0,0.005,1.0,999.0,1.0,1.0,0.0,0.0,0.0,0.8250000000000001,0.7295153664302602,6.0,2.0,2.0,0.15000000000000002,0.0,6.0,0.061768800020217896
