epoch,is_best_epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2,train_abs_loss,train_emi_loss,train_plqy_loss,train_em_loss,val_abs_loss,val_emi_loss,val_plqy_loss,val_em_loss,train_abs_mae,train_emi_mae,train_plqy_mae,train_em_mae,val_abs_mae,val_emi_mae,val_plqy_mae,val_em_mae,train_abs_r2,train_emi_r2,train_plqy_r2,train_em_r2,val_abs_r2,val_emi_r2,val_plqy_r2,val_em_r2,train_total_rows_before,train_kept_rows,train_dropped_total_rows,train_solute_skipped_rows,train_solute_invalid_count,train_solute_missing_count,train_solvent_smiles_required,train_solvent_skipped_rows,train_solvent_invalid_count,train_solvent_missing_count,val_total_rows_before,val_kept_rows,val_dropped_total_rows,val_solute_skipped_rows,val_solute_invalid_count,val_solute_missing_count,val_solvent_smiles_required,val_solvent_skipped_rows,val_solvent_invalid_count,val_solvent_missing_count,test_total_rows_before,test_kept_rows,test_dropped_total_rows,test_solute_skipped_rows,test_solute_invalid_count,test_solute_missing_count,test_solvent_smiles_required,test_solvent_skipped_rows,test_solvent_invalid_count,test_solvent_missing_count
1,0,1.1543020009994507,0.5424256324768066,40.345394134521484,23.94169807434082,71.8088150024414,42.845008850097656,-0.18603894114494324,0.4404495358467102,0.8991519212722778,0.9967395663261414,1.480488896369934,1.3677749633789062,0.30011388659477234,0.3905084729194641,0.8890604376792908,0.7121509909629822,73.577880859375,70.46297454833984,0.3086230754852295,1.018414855003357,41.452850341796875,44.86853790283203,0.2511006295681,0.7100144624710083,0.10084795951843262,0.0032602548599243164,-0.4804891347885132,-0.3677748441696167,0.7022658586502075,0.620518684387207,0.13535308837890625,0.3036605715751648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0.5807238221168518,0.5068093538284302,25.75690269470215,22.997331619262695,45.607872009277344,41.19534683227539,0.3888314962387085,0.4770296812057495,0.34796178340911865,0.42468753457069397,0.9048610925674438,0.7671636343002319,0.27228522300720215,0.36889517307281494,0.8269649147987366,0.6739843487739563,45.363677978515625,46.80747604370117,0.2527832090854645,0.7261703014373779,39.827964782714844,43.111392974853516,0.24705247581005096,0.6526384949684143,0.6520381569862366,0.5753124952316284,0.0951387882232666,0.23283648490905762,0.729873776435852,0.641521692276001,0.19574350118637085,0.34097981452941895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.5202645063400269,0.4497522711753845,23.167144775390625,19.511987686157227,41.337528228759766,35.739601135253906,0.4491986632347107,0.5326213240623474,0.2847561836242676,0.3505474328994751,0.8433005809783936,0.7246010303497314,0.20518898963928223,0.2772451937198639,0.765811026096344,0.6665535569190979,40.67683410644531,42.19890594482422,0.24279043078422546,0.6952967047691345,33.31826400756836,37.03881072998047,0.23133835196495056,0.6431630849838257,0.7152438163757324,0.6494525671005249,0.1566992998123169,0.27539902925491333,0.7964380383491516,0.730583667755127,0.2552180886268616,0.34824562072753906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0.4797930419445038,0.4298039972782135,21.668418884277344,18.59309196472168,38.802398681640625,34.494991302490234,0.49105268716812134,0.5532339811325073,0.24994388222694397,0.3103289008140564,0.7834045886993408,0.6921119093894958,0.18533648550510406,0.2671358585357666,0.7250709533691406,0.6529412865638733,37.92951202392578,39.574546813964844,0.23147469758987427,0.6812692880630493,31.31861114501953,35.78368377685547,0.22601300477981567,0.6356289982795715,0.7500560879707336,0.6896710991859436,0.21659529209136963,0.3078882694244385,0.8161331415176392,0.7404075264930725,0.2948395013809204,0.36155563592910767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0.4458564221858978,0.4209570288658142,20.650325775146484,19.583831787109375,36.985557556152344,36.00515365600586,0.5263075828552246,0.5659472942352295,0.22683867812156677,0.2823237180709839,0.7361297011375427,0.6494773626327515,0.21411217749118805,0.2724412679672241,0.6701890826225281,0.6210516095161438,36.106224060058594,37.753021240234375,0.2226024717092514,0.6595320701599121,34.5311279296875,35.84862518310547,0.2145906537771225,0.6782369613647461,0.7731612920761108,0.7176762819290161,0.26387012004852295,0.35052263736724854,0.7875856161117554,0.7352519035339355,0.3482142686843872,0.39273732900619507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0.4171573221683502,0.37162554264068604,19.86155891418457,17.649089813232422,35.66523361206055,32.29035568237305,0.5574178099632263,0.615440845489502,0.2117498517036438,0.26126742362976074,0.6771650910377502,0.6201464533805847,0.17715129256248474,0.21156436204910278,0.6077601313591003,0.5786768198013306,34.82838439941406,36.18412399291992,0.21147504448890686,0.6410104036331177,31.222135543823242,32.200523376464844,0.19673237204551697,0.5923599004745483,0.7882501482963562,0.7387325763702393,0.322834849357605,0.37985366582870483,0.8242534399032593,0.7944098114967346,0.40892893075942993,0.43417125940322876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.39462295174598694,0.3510622978210449,19.09116554260254,16.477113723754883,34.47385025024414,30.600244522094727,0.5815141797065735,0.6348206400871277,0.1990872472524643,0.24218341708183289,0.6359965801239014,0.5966761112213135,0.14985230565071106,0.2040976583957672,0.5958715081214905,0.5463401675224304,33.396095275878906,34.870452880859375,0.20324508845806122,0.6245602369308472,28.187904357910156,31.185298919677734,0.19682808220386505,0.5720946192741394,0.8009127378463745,0.7578165531158447,0.36400341987609863,0.4033239483833313,0.8513359427452087,0.8016656637191772,0.420491099357605,0.4657899737358093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0.36864420771598816,0.34484124183654785,18.431884765625,16.859769821166992,33.27055740356445,31.08035659790039,0.6087305545806885,0.6429449319839478,0.18342341482639313,0.22865737974643707,0.5977177023887634,0.5552793741226196,0.16046470403671265,0.2015916109085083,0.5647756457328796,0.5357569456100464,32.12089157104492,33.820987701416016,0.1953815072774887,0.5960482358932495,29.94040298461914,30.600868225097656,0.18713119626045227,0.5884758234024048,0.8165765404701233,0.7713426351547241,0.402282178401947,0.44472068548202515,0.8408076763153076,0.8041009306907654,0.4507330656051636,0.476138174533844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0.3556978404521942,0.31289058923721313,18.051206588745117,15.191280364990234,32.56161117553711,28.62969398498535,0.6228463053703308,0.6755670309066772,0.17631177604198456,0.21805855631828308,0.5693541169166565,0.5448902249336243,0.13268162310123444,0.17635013163089752,0.5103569626808167,0.5097059011459351,31.523578643798828,33.03703308105469,0.18922550976276398,0.591079592704773,26.057411193847656,28.64626121520996,0.17543768882751465,0.5544611811637878,0.8236882090568542,0.7819414138793945,0.43064582347869873,0.4551098346710205,0.8683704733848572,0.8286296129226685,0.5036574006080627,0.5016108751296997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.33543291687965393,0.3018108010292053,17.46145248413086,14.985980987548828,31.627304077148438,28.204559326171875,0.6440266370773315,0.686652660369873,0.16571228206157684,0.206687793135643,0.5419042110443115,0.5095891952514648,0.13027332723140717,0.16885924339294434,0.5019286870956421,0.4826277494430542,30.48515510559082,31.97013282775879,0.1839003562927246,0.5689098834991455,26.111574172973633,27.777063369750977,0.1776755005121231,0.5381316542625427,0.834287703037262,0.7933121919631958,0.4580957293510437,0.49041086435317993,0.8707596659660339,0.8359090089797974,0.5118542313575745,0.528087854385376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.3212229013442993,0.2930907905101776,17.072813034057617,15.063209533691406,30.91985511779785,28.099384307861328,0.6595077514648438,0.6962237358093262,0.16013744473457336,0.1948462724685669,0.513090968132019,0.4938942492008209,0.12875358760356903,0.16844409704208374,0.47941967844963074,0.46781644225120544,29.853897094726562,31.20524787902832,0.1783164143562317,0.5536929368972778,25.7974853515625,28.48917579650879,0.1719176173210144,0.515398383140564,0.8398625254631042,0.8051537275314331,0.4869089722633362,0.5061057806015015,0.8722673654556274,0.8363124132156372,0.5337451696395874,0.5425702333450317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0.3080601096153259,0.28134724497795105,16.750192642211914,14.393511772155762,30.398639678955078,27.424840927124023,0.6734417080879211,0.7088801264762878,0.1546081006526947,0.18860436975955963,0.49339017271995544,0.46963053941726685,0.12633156776428223,0.15482524037361145,0.4531635642051697,0.4581489562988281,29.400697708129883,30.487262725830078,0.173183873295784,0.5389904975891113,25.178630828857422,26.59331512451172,0.16195136308670044,0.49021297693252563,0.8453918695449829,0.8113956451416016,0.5066097378730774,0.5303695201873779,0.874670147895813,0.8495467305183411,0.559280276298523,0.5520231127738953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
